template_name,display_name,field_id,field_display_name,field_type,enum_values
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,usage,Usage,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,company,Company,ENUM,Lisea|Mesea
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,owner,Owner,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,contact,Contact,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,source_system,Source_system,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,source_table,Source_table,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,origin,Origin,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,lifecycle,Lifecycle,ENUM,Developpement|Test|Production
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,data_classification,Data classification,ENUM, Intern_Lisea|Interne_Mesea|Partenaire|Libre
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,update_frequency,Update frequency,ENUM,Events|Minutes|hourly|intraday|weekly|Monthly|Infrequent
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,lifespan,Lifespan,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,keywords,Keywords,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,business_process,business_process,STRING,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,approved,Approve_for_use,BOOL,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,delete_by_date,Delete_by_date,TIMESTAMP,
projects/lisea-mesea-sandbox-272216/locations/europe-west1/tagTemplates/business,Business,retain_till_date,Retain_till_date,TIMESTAMP,
